Date,Time,Home Team,Away,Network
November 6,11:00 AM,Winthrop,Clemson,ACCNX
November 6,11:00 AM,Richmond,Duke,ACCNX
November 6,11:00 AM,Coastal Carolina,Georgia Tech,ACCNX
November 6,1:00 PM,Notre Dame,South Carolina,ESPN
November 6,,Oui Play (Paris,France),
November 6,5:00 PM,Holy Cross,Boston College,ACCNX
November 6,5:00 PM,High Point,Virginia Tech,ACCN
November 6,5:00 PM,Wofford,Wake Forest,ACCNX
November 6,6:00 PM,Charleston So.,Florida State,ACCNX
November 6,6:00 PM,Louisville,Cincinnati,ESPN+
November 7,7:00 PM,Charlotte,NC State,ACCN
November 7,7:00 PM,Lafayette,Syracuse,ACCNX
November 7,7:00 PM,Yale,Pitt,ACCNX
November 8,7:00 PM,Gardner-Webb,North Carolina,ACCNX
November 8,7:00 PM,UMES,Virginia,ACCNX
November 9,11:00 AM,Jacksonville,Miami,ACCNX
November 9,6:00 PM,Harvard,Boston College,ACCN
November 9,6:00 PM,Tennessee,Florida State,ESPN2
November 9,7:00 PM,Coastal Carolina,Duke,ACCNX
November 9,TBA,Virginia Tech,Iowa,Ally Tipoff (Charlotte
November 10,7:00 PM,Charleston So.,Clemson,ACCNX
November 10,7:00 PM,C. Connecticut,Syracuse,ACCNX
November 11,2:00 PM,Furman,Georgia Tech,ACCNX
November 11,2:00 PM,West Virginia,Pitt,ACCNX
November 11,TBA,Wake Forest,Davidson,ESPN+
November 12,2:00 PM,Northeastern,Boston College,ACCNX
November 12,2:00 PM,Mercer,Clemson,ACCNX
November 12,2:00 PM,Fordham,Miami,ACCNX
November 12,2:00 PM,Notre Dame,NJIT,ESPN+
November 12,2:00 PM,Campbell,Virginia,ACCNX
November 12,3:00 PM,UConn,NC State,ABC
November 12,4:00 PM,DePaul,Louisville,ACCN
November 12,6:00 PM,Davidson,North Carolina,ACCN
November 14,6:00 PM,Duke,Columbia,ESPN+
November 15,11:00 AM,Hampton,North Carolina,ACCNX
November 15,4:00 PM,Pitt,George Mason,FloHoops
November 15,6:00 PM,N.C. A&T,Wake Forest,ACCNX
November 15,7:00 PM,Northwestern,Notre Dame,ACCN
November 15,7:00 PM,Coppin State,Syracuse,ACCNX
November 15,7:00 PM,Elon,NC State,ACCNX
November 15,7:00 PM,William & Mary,Virginia,ACCNX
November 16,6:00 PM,Houston Christian,Virginia Tech,ACCNX
November 16,7:00 PM,Davidson,Duke,ACCNX
November 16,7:00 PM,Bellarmine,Louisville,ACCNX
November 16,8:00 PM,Georgia Tech,Rice,
November 16,TBA,Boston College,Ohio State,
November 16,TBA,Clemson,South Carolina,
November 17,5:00 PM,Southern,Miami,ACCNX
November 17,TBA,Florida State,Florida,
November 18,1:00 PM,Notre Dame,Illinois,NBC/Peacock
November 18,2:00 PM,Pitt,Duquesne,
November 18,3:00 PM,Elon,North Carolina,ACCNX
November 18,10:30 PM,Wake Forest,BYU,
November 19,2:00 PM,Oklahoma,Virginia,ACCN
November 19,2:00 PM,South Alabama,Florida State,ACCNX
November 19,2:00 PM,Kennesaw State,Georgia Tech,ACCNX
November 19,2:00 PM,Rhode Island,NC State,ACCNX
November 19,3:30 PM,Longwood,Clemson,ACCNX
November 19,4:00 PM,Bucknell,Louisville,ACCN
November 19,TBA,Syracuse,Maryland,
November 19,TBA,Boston College,Providence,
November 19,TBA,Duke,Stanford,
November 20,6:00 PM,UNCG,Virginia Tech,ACCNX
November 20,9:00 PM,Wake Forest,Saint Louis,North Shore Showcase (Laie
November 21,11:00 AM,Coppin State,Pitt,ACCNX
November 21,7:00 PM,Chicago State,Notre Dame,ACCNX
November 22,2:00 PM,Florida State,Northwestern,Ball Dawgs Classic (Henderson
