Date,Time,Home Team,Away,Network
December 31,12:00 PM,Illinois,Indiana,Big Ten Network
December 31,2:00 PM,Maryland,Nebraska,Big Ten Network
December 30,12:00 PM,Ohio State,Michigan,FOX
December 30,2:00 PM,Minnesota,Iowa,Big Ten Network
December 30,4:00 PM,Michigan State,Penn State,Big Ten Network
December 30,6:00 PM,Wisconsin,Purdue,Big Ten Network
December 30,2:00 PM,Texas,Baylor,FOX
December 18,6:30 PM,UCLA,Ohio State,FS1
December 17,5:30 PM,Virginia Tech,Rutgers,FS1
December 17,4:00 PM,Missouri,Illinois,Big Ten Network
December 16,7:00 PM,Cleveland State,Iowa,Big Ten Network
December 10,2:30 PM,Iowa,Wisconsin,Big Ten Network
December 9,4:00 PM,Indiana,Rutgers,Big Ten Network
December 9,2:00 PM,Nebraska,Michigan State,Big Ten Network
December 6,7:00 PM,Iowa State,Iowa,ESPN2
December 3,4:00 PM,Georgetown,Northwestern,Big Ten Network
December 3,2:00 PM,Baylor,Oregon,FS1
December 3,3:00 PM,Texas,Connecticut,ABC
December 2,1:30 PM,Bowling Green,Iowa,FS1
November 24,11:00 AM,Virginia,Tulane,FloHoops
November 24,4:00 PM,Colgate,Miami,ACCNX
November 22,6:00 PM,Bowling Green,Indiana,Big Ten Network
November 21,11:00 AM,Coppin State,Pitt,ACCNX
November 21,7:00 PM,Chicago State,Notre Dame,ACCNX
November 20,6:00 PM,UNCG,Virginia Tech,ACCNX
November 19,2:00 PM,Oklahoma,Virginia,ACCN
November 19,2:00 PM,South Alabama,Florida State,ACCNX
November 19,2:00 PM,Kennesaw State,Georgia Tech,ACCNX
November 19,2:00 PM,Rhode Island,NC State,ACCNX
November 19,3:30 PM,Longwood,Clemson,ACCNX
November 19,4:00 PM,Bucknell,Louisville,ACCN
November 19,5:00 PM,Drake,Iowa,FS1
November 19,7:00 PM,UConn,Minnesota,FS1
November 19,12:00 PM,Syracuse,Maryland,Big Ten Network
November 19,2:00 PM,Creighton,Nebraska,Big Ten Network
November 18,1:00 PM,Notre Dame,Illinois,NBC/Peacock
November 18,3:00 PM,Elon,North Carolina,ACCNX
November 17,5:00 PM,Southern,Miami,ACCNX
November 16,6:00 PM,Houston Christian,Virginia Tech,ACCNX
November 16,7:00 PM,Davidson,Duke,ACCNX
November 16,7:00 PM,Bellarmine,Louisville,ACCNX
November 16,8:30 PM,K-State,Iowa,FS1
November 15,11:00 AM,Hampton,North Carolina,ACCNX
November 15,4:00 PM,Pitt,George Mason,FloHoops
November 15,6:00 PM,N.C. A&T,Wake Forest,ACCNX
November 15,7:00 PM,Northwestern,Notre Dame,ACCN
November 15,7:00 PM,Coppin State,Syracuse,ACCNX
November 15,7:00 PM,Elon,NC State,ACCNX
November 15,7:00 PM,William & Mary,Virginia,ACCNX
November 14,6:00 PM,Duke,Columbia,ESPN+
November 13,6:00 PM,Kansas,Penn State,Big Ten Network
